year,fips,name,total_units,units_1,units_2,units_3_4,units_5_more,units_rep_1,units_rep_2,units_rep_3_4,units_rep_5_more,value_1,value_2,value_3_4,value_5_more,value_rep_1,value_rep_2,value_rep_3_4,value_rep_5_more,buildings_1,buildings_2,buildings_3_4,buildings_5_more,buildings_rep_1,buildings_rep_2,buildings_rep_3_4,buildings_rep_5_more,survey_date,fips_state,fips_county,region_code,division_code
2000,01001,Autauga County,165,165,0,0,0,165,0,0,0,9854805,0,0,0,9854805,0,0,0,165,0,0,0,165,0,0,0,200012,01,001,3,6
2000,01081,Lee County,574,330,132,18,94,330,132,18,94,46679876,6717524,1452440,4717784,46679876,6717524,1452440,4717784,330,66,6,9,330,66,6,9,200012,01,081,3,6
2000,01113,Russell County,358,108,2,0,248,108,2,0,248,8218417,90000,0,13499064,8218417,90000,0,13499064,108,1,0,13,108,1,0,13,200012,01,113,3,6
2000,02000,Alaska Balance of State,72,72,0,0,0,NA,NA,NA,NA,12544724,0,0,0,NA,NA,NA,NA,72,0,0,0,NA,NA,NA,NA,200012,02,000,4,9
2000,02013,Aleutians East Borough,1,1,0,0,0,0,0,0,0,85000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,200012,02,013,4,9
2000,02016,Aleutians West Census Area,51,19,0,0,32,19,0,0,32,2732002,0,0,4584720,2732002,0,0,4584720,19,0,0,4,19,0,0,4,200012,02,016,4,9
2000,02020,Anchorage Borough,1190,821,210,26,133,821,210,26,133,159930828,28057352,3720175,11146524,159930828,28057352,3720175,11146524,821,105,7,14,821,105,7,14,200012,02,020,4,9
2000,02050,Bethel Census Area,50,50,0,0,0,50,0,0,0,6321430,0,0,0,6321430,0,0,0,50,0,0,0,50,0,0,0,200012,02,050,4,9
2000,02060,Bristol Bay Borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200012,02,060,4,9
2000,02090,Fairbanks North Star Borough,124,124,0,0,0,113,0,0,0,12699386,0,0,0,11689322,0,0,0,124,0,0,0,113,0,0,0,200012,02,090,4,9
2000,02100,Haines Borough,9,9,0,0,0,9,0,0,0,824000,0,0,0,824000,0,0,0,9,0,0,0,9,0,0,0,200012,02,100,4,9
2000,02110,Juneau Borough,98,86,8,4,0,62,2,4,0,17691237,1257253,364312,0,13539264,420706,364312,0,86,4,1,0,62,1,1,0,200012,02,110,4,9
2000,02122,Kenai Peninsula Borough,109,91,2,10,6,88,2,10,6,11410849,244000,627000,205882,11088949,244000,627000,205882,91,1,3,1,88,1,3,1,200012,02,122,4,9
