year,name,total_units,units_1,units_2,units_3_4,units_5_more,structures_units_5_more,note
2004,"Abilene, TX",291,283,8,0,0,0,NA
2004,"Akron, OH",2934,2480,70,102,282,23,NA
2004,"Albany, GA",873,671,52,32,118,15,NA
2004,"Albany-Schenectady-Troy, NY",3268,2608,42,4,614,61,NA
2004,"Albuquerque, NM",7455,7065,0,66,324,16,"Metropolitan areas where all permit offices are
    requested to report monthly."
2004,"Alexandria, LA",685,683,2,0,0,0,NA
2004,"Allentown-Bethlehem-Easton, PA-NJ",4612,4461,18,40,93,10,"Metropolitan areas where all permit offices are
    requested to report monthly."
2004,"Altoona, PA",496,293,18,0,185,9,NA
2004,"Amarillo, TX",1010,737,6,0,267,13,NA
2004,"Ames, IA",736,317,18,3,398,17,NA
2004,"Anchorage, AK",2042,922,488,92,540,56,"Metropolitan areas where all permit offices are
    requested to report monthly."
2004,"Anderson, IN",555,555,0,0,0,0,NA
2004,"Anderson, SC",1248,1212,20,16,0,0,NA
2004,"Ann Arbor, MI",2708,1994,14,36,664,48,NA
2004,"Anniston-Oxford, AL",222,204,2,0,16,1,NA
2004,"Appleton, WI",1528,1325,126,14,63,7,NA
2004,"Asheville, NC",3754,3138,102,106,408,27,NA
2004,"Athens-Clarke County, GA",2113,1958,14,23,118,8,NA
2004,"Atlanta-Sandy Springs-Marietta, GA",74007,57316,280,267,16144,382,"Metropolitan areas where all permit offices are
    requested to report monthly."
2004,"Atlantic City, NJ",2075,1970,48,23,34,5,"Metropolitan areas where all permit offices are
    requested to report monthly."
2004,"Auburn-Opelika, AL",1500,1203,78,4,215,18,"Metropolitan areas where all permit offices are
    requested to report monthly."
2004,"Augusta-Richmond County, GA-SC",3708,3694,14,0,0,0,NA
2004,"Austin-Round Rock, TX",18015,14309,302,298,3106,186,"Metropolitan areas where all permit offices are
    requested to report monthly."
2004,"Bakersfield, CA",6794,6174,102,213,305,35,NA
2004,"Baltimore-Towson, MD",10282,7501,76,44,2661,174,"Metropolitan areas where all permit offices are
    requested to report monthly."
2004,"Bangor, ME",741,658,20,31,32,2,NA
2004,"Barnstable Town, MA",1475,1265,6,13,191,7,NA
2004,"Baton Rouge, LA",5179,4669,8,72,430,50,NA
2004,"Battle Creek, MI",370,354,4,0,12,1,NA
2004,"Bay City, MI",405,327,18,0,60,1,NA
2004,"Beaumont-Port Arthur, TX",1125,1077,4,6,38,4,NA
2004,"Bellingham, WA",2488,1647,38,136,667,37,NA
2004,"Bend, OR",3892,3196,202,152,342,25,"Metropolitan areas where all permit offices are
    requested to report monthly."
2004,"Billings, MT",939,646,2,57,234,11,NA
2004,"Binghamton, NY",289,274,2,0,13,1,NA
2004,"Birmingham-Hoover, AL",7800,6358,66,0,1376,94,"Metropolitan areas where all permit offices are
    requested to report monthly."
2004,"Bismarck, ND",852,660,16,71,105,6,NA
2004,"Blacksburg-Christiansburg-Radford, VA",904,852,18,0,34,4,NA
2004,"Bloomington, IN",1138,659,208,35,236,21,NA
2004,"Bloomington-Normal, IL",1165,893,10,20,242,13,NA
2004,"Boise City-Nampa, ID",8895,7843,192,780,80,8,"Metropolitan areas where all permit offices are
    requested to report monthly."
2004,"Boston-Cambridge-Quincy, MA-NH",15423,8204,800,382,6037,295,"Metropolitan areas where all permit offices are
    requested to report monthly."
2004,"Boulder, CO",1372,1125,22,6,219,17,NA
2004,"Bowling Green, KY",1324,809,24,21,470,21,NA
